id,review,rating,createdAt,lastComment,qtyItem,orderedAt,orderItem,tagsData,replayComment,timeReplayComment
ffb55e12-eee1-4649-b0d3-fdf19341eb6a,sayang masaknya kelamaan ,4,2023-11-19T18:11:21.487764+07:00,"{'id': '38c68fcd-5f7c-4cc2-b14f-511ebca09e0b', 'text': 'Mohon maaf kak, di karenakan alat penggoreng kentangnya rusak, jadi sedikit merepotkan dalam memasak krna peralatan yang terbatas😔', 'createdAt': '2023-11-20T18:51:46.182257653+07:00', 'author': {'fullName': 'Nur Hapsari Afdilla', 'isMerchant': True}}",1,2023-11-19T10:12:12.801551Z,Kebab Combo,CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_PRICE CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_VALUE,"Mohon maaf kak, di karenakan alat penggoreng kentangnya rusak, jadi sedikit merepotkan dalam memasak krna peralatan yang terbatas😔",2023-11-20T18:51:46.182257653+07:00
0a18af98-f6ff-45b5-884f-8c9dbbb6e208,Rasanya tidak mengecewakan. Saya selalu order di sini kalau mau makan kebab jam 7 pagi karena yang lain belum ada yang buka 💯💯💯,5,2022-08-27T08:31:40.157351+07:00,,3,2022-08-27T00:41:32.910244Z,"Kebab Black, Kebab Black, Canai Cokelat Keju",CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_TASTE CANNED_RESPONSE_VALUE CANNED_RESPONSE_PORTION CANNED_RESPONSE_PACKAGING,,
3551eff0-291b-40de-bb34-c627ea880d71,"Kurang ngeblend rasanya,tidak terasa pedasnya",3,2022-03-30T16:17:39.148241+07:00,,1,2022-03-30T08:19:57.623127Z,Kebab Chijeu,CANNED_RESPONSE_TASTE,,
e7e8c3c9-6877-4ebf-b203-1253dfb536da,"mantab banget kak, daging nya nendang, porsinya pas, harga nya masih kemahalan dikit kak, overall the best lah kak",5,2021-12-12T14:04:14.087326+07:00,,3,2021-12-12T03:22:31.76221Z,"Blessember 2, Kebab Sapi Ori +1.212, Teh Pucuk Harum 330ml",,,
f5284eb0-d6a3-41e8-a4f9-838469558c15,Terlalu lama masaknya,5,2023-11-22T17:41:18.201565+07:00,,1,2023-11-22T09:21:45.787247Z,"PaNas 2  Krispy, Medium",CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_VALUE CANNED_RESPONSE_CUTLERY,,
844b58e7-4ac3-47a9-9429-ec21190b9c98,saya pesan kentang goreng tapi gaada,1,2023-09-26T18:05:19.026134+07:00,,2,2023-09-26T10:08:49.551974Z,"French Fries Medium, PaNas 1 Spicy, Medium",,,
eb09cde4-88b9-4c07-bb2f-1dcfbd384cd8,"yaa ampun 
tolong d cek lg klo mo di kshin ke gofood
pesanan saya kurang 2
ampun deh
sering bgt gue go food pesanannya dikurangi..
makan tuh",2,2023-07-25T06:04:02.860856+07:00,,1,2023-07-24T22:23:20.088898Z,Paket Hemat Sausage Wrap,,,
2732dabf-0bd0-4fc7-bed7-9665c59c91a3,Love bgt sama sambalnya👍🏻,5,2023-06-15T12:16:21.561921+07:00,,2,2023-06-15T04:34:43.234265Z,"Paket Nasi Uduk McD Ayam Suwir, Chicken Fingers",CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_VALUE CANNED_RESPONSE_CUTLERY,,
87c53531-b7b3-47de-951e-b2d00fb8c790,Wihh murah bikin kenyang bangettt ❤️ choco pie nya coklatnya meleleh di ice creamnya enak banget bintang limaa ✨,5,2023-05-03T21:38:13.90837+07:00,,2,2023-05-03T13:46:57.301987Z,"Double Choco Pie A la Mode Chocolate, PaHeBat Cheeseburger, Medium",CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_PORTION CANNED_RESPONSE_PACKAGING CANNED_RESPONSE_HYGIENE CANNED_RESPONSE_VALUE CANNED_RESPONSE_CUTLERY,,
55448d2f-ec14-4159-8280-d88305139fa4,Ini kenapa isinya sayap semua ya?,3,2023-04-06T00:48:19.715819+07:00,,1,2023-04-05T17:27:19.71772Z,PaNas 2 Ayam McD Gulai Spicy,,,
dea46f26-f0e7-4676-abe9-f4b850a7832f,"enak, karena lagi lapar😄 pedasnya mantul...kecap asin nya kebanyakan😄",4,2023-03-01T20:19:40.045369+07:00,,1,2023-03-01T12:46:39.546014Z,PaNas HeBat Korean Soy Garlic Wings,CANNED_RESPONSE_TASTE,,
a9eb6cb7-e387-4506-b554-db3e3205b2fc,"ayamnya ayam kemarin,kecil,keras,
sajikan yang lebih fresh",2,2023-01-31T01:23:44.478094+07:00,,1,2023-01-30T16:10:56.568798Z,"PaNas 2  Spicy with Fries, Medium",CANNED_RESPONSE_FRESHNESS CANNED_RESPONSE_TASTE CANNED_RESPONSE_VALUE,,
ee378ecc-ef46-49a6-9ae0-2688cf28dd22,saosnya ga di kasi :(,4,2023-01-02T12:16:53.349431+07:00,,1,2022-12-30T15:53:39.942869Z,"Paket Hemat McNuggets 6 pcs, Large",,,
185a3ad0-0a1a-4d98-a27d-2f3aa9ebf23f,"Pesanannnya tidak lengkap, kurang 1 menu ketinggalan, driver tdk bisa dihibungi lagi",2,2022-12-11T13:05:07.815971+07:00,,5,2022-12-11T04:59:40.036229Z,"Paket Hemat Spicy Chicken McNuggets, Medium, Sweet Corn, Beef Burger, Fish Fillet Burger, PaNas 2 Ayam Krispy McD Kimchi",CANNED_RESPONSE_ORDER,,
e64871a2-de44-4df5-971f-8d57b3cb4d05,"Take away, so we can enjoy eating on the bus from Jombor to Jakarta",5,2022-11-15T17:41:21.695762+07:00,,2,2022-11-15T10:00:11.624646Z,"PaNas 2  Krispy, Medium, PaNas 1 Krispy, Medium",,,
e424f32b-3054-4d14-b810-a90ad3317d35,"kecewa berat aku pesan ayam rica-rica tpi yg datang bukan ayam rica-rica tapi nugget rica-rica, mana isi nugget nya sedikit sama bumbunya sumpah kecewa gw. ga beli lagi gw d McD ini sumpah KECEWA",1,2022-10-20T15:44:27.030154+07:00,,3,2022-10-19T11:52:13.313991Z,"Dark Choco McFlurry With Crunch, PaNas 2  Spicy, Medium, Rica Rica Fish Rice McD",CANNED_RESPONSE_ORDER,,
71d9ba92-bfe0-4197-8551-ba2ce15cd419,Happy with my order,5,2022-09-23T11:57:18.948416+07:00,,1,2022-09-21T04:45:17.368717Z,Happy Meal McNuggets,,,
4145b9e0-64c2-4f6e-8002-37f8be075b69,"pesanan yang datang kurang, padahal sudah membayar full ",1,2022-09-05T20:23:14.902581+07:00,,2,2022-09-05T12:39:53.955827Z,"Paket 2 Ayam Krispy with McFlavor Fries, Fish Fillet Burger McFlavor Set",CANNED_RESPONSE_ORDER,,
1f1ab9da-52ce-4968-8afe-f47ae93e15c1,Porsinya kurang banyak,1,2022-08-21T09:50:01.745263+07:00,,2,2022-08-20T07:52:45.694474Z,"PaHeBat Beef Burger Deluxe, Medium, Happy Meal Ayam McD",,,
28879f67-61ee-48a5-9fb0-7f1303fa34fc,pesan ayam spicy malah di kasih ayam chrispi,1,2022-07-28T20:02:00.919549+07:00,,1,2022-07-28T12:14:29.124187Z,PaMer 5 Spicy Medium,,,
5852d572-aa0e-4a38-bcb1-e15dec008b87,Burgernya gak ada rasanya. Mendingan bigmac pake banget…,3,2022-07-05T01:25:15.840941+07:00,,4,2022-07-04T17:35:03.858377Z,"Paket Hemat Beef Onion Stew & Egg  Burger, Large, PaNas 1 Krispy, Medium, Sweet Corn, Chicken Snack Wrap",CANNED_RESPONSE_TASTE,,
4af7b2ca-51a8-4be6-909b-cb73c654763a,enak banget filling nyaaa,5,2022-06-15T08:35:46.654633+07:00,,2,2022-06-14T11:53:07.287212Z,"White Choco Strawberry Pastry Pie, Iced Coffee Float",CANNED_RESPONSE_TASTE,,
